COD_CIUDAD_MUNI,NombreMun,NombreDep,MunDep,longitude,latitude
5756,Sonson,Antioquia,Sonson Antioquia,-75.31032889,5.712734274
5652,San Francisco,Antioquia,San Francisco Antioquia,-75.10188053,5.964118617
5055,Argelia,Antioquia,Argelia Antioquia,-75.14274246,5.731507552
5483,Nariño,Antioquia,Nariño Antioquia,-75.17494738,5.61094056
5697,El Santuario,Antioquia,El Santuario Antioquia,-75.26543605,6.137060301
5197,Cocorná,Antioquia,Cocorná Antioquia,-75.18563934,6.057835407
5660,San Luis,Antioquia,San Luis Antioquia,-74.99442095,6.042811908
5649,San Carlos,Antioquia,San Carlos Antioquia,-74.9930307,6.18792239
5313,Granada,Antioquia,Granada Antioquia,-75.18386151,6.138867912
5541,Peñol,Antioquia,Peñol Antioquia,-75.21238785,6.221623548
5321,Guatapé,Antioquia,Guatapé Antioquia,-75.15874462,6.231778178
5667,San Rafael,Antioquia,San Rafael Antioquia,-75.02827793,6.293895422
5021,Alejandría,Antioquia,Alejandría Antioquia,-75.14135114,6.375878751
5206,Concepción,Antioquia,Concepción Antioquia,-75.25758512,6.394170607
5658,San José de La Montaña,Antioquia,San José de La Montaña Antioquia,-75.68411071,6.849684997
5086,Belmira,Antioquia,Belmira Antioquia,-75.66686453,6.605379834
5264,Entrerrios,Antioquia,Entrerrios Antioquia,-75.51718299,6.566594343
5761,Sopetrán,Antioquia,Sopetrán Antioquia,-75.74583399,6.500835554
5501,Olaya,Antioquia,Olaya Antioquia,-75.81220135,6.626591376
5411,Liborina,Antioquia,Liborina Antioquia,-75.81219335,6.67777618
5038,Angostura,Antioquia,Angostura Antioquia,-75.33497692,6.885310433
5315,Guadalupe,Antioquia,Guadalupe Antioquia,-75.23974978,6.815001107
5310,Gómez Plata,Antioquia,Gómez Plata Antioquia,-75.22172156,6.683982522
5150,Carolina,Antioquia,Carolina Antioquia,-75.28363764,6.725931925
5686,Santa Rosa de Osos,Antioquia,Santa Rosa de Osos Antioquia,-75.4601084,6.645116599
5237,Don Matías,Antioquia,Don Matías Antioquia,-75.3941233,6.485830012
5858,Vegachí,Antioquia,Vegachí Antioquia,-74.79816211,6.768610691
5885,Yalí,Antioquia,Yalí Antioquia,-74.84152009,6.668661608
5890,Yolombó,Antioquia,Yolombó Antioquia,-75.01384149,6.595323579
5670,San Roque,Antioquia,San Roque Antioquia,-75.01951416,6.485600845
5690,Santo Domingo,Antioquia,Santo Domingo Antioquia,-75.16519931,6.472469915
5190,Cisneros,Antioquia,Cisneros Antioquia,-75.08673716,6.538872229
5579,Puerto Berrío,Antioquia,Puerto Berrío Antioquia,-74.40713862,6.483691814
5585,Puerto Nare,Antioquia,Puerto Nare Antioquia,-74.58344789,6.186479089
5591,Puerto Triunfo,Antioquia,Puerto Triunfo Antioquia,-74.63881093,5.88453039
5142,Caracolí,Antioquia,Caracolí Antioquia,-74.75762934,6.41024012
5425,Maceo,Antioquia,Maceo Antioquia,-74.78804458,6.552992404
27660,San José del Palmar,Chocó,San José del Palmar Chocó,-76.23431577,4.896163107
13052,Arjona,Bolívar,Arjona Bolívar,-75.34732037,10.25364066
13062,Arroyohondo,Bolívar,Arroyohondo Bolívar,-75.01932119,10.25027313
13188,Cicuco,Bolívar,Cicuco Bolívar,-74.64553649,9.275370411
13212,Córdoba,Bolívar,Córdoba Bolívar,-74.82751879,9.586609582
13222,Clemencia,Bolívar,Clemencia Bolívar,-75.32567494,10.56767204
13244,El Carmen de Bolívar,Bolívar,El Carmen de Bolívar Bolívar,-75.12140834,9.717671805
13248,El Guamo,Bolívar,El Guamo Bolívar,-74.97537492,10.03109728
8001,Barranquilla,Atlántico,Barranquilla Atlántico,-74.83103232,10.93013434
47707,Santa Ana,Magdalena,Santa Ana Magdalena,-74.56756617,9.322573774
